date,Open,High,Low,Close
8/17/2021,"47,220","47,418","47,080","47,280"
8/18/2021,"47,279","47,419","47,150","47,222"
8/20/2021,"47,130","47,600","47,130","47,558"
8/23/2021,"47,555","47,698","47,252","47,584"
8/24/2021,"47,250","47,737","47,208","47,605"
8/25/2021,"47,550","47,678","47,120","47,178"
8/26/2021,"47,250","47,341","47,052","47,175"
8/27/2021,"47,150","47,580","47,110","47,538"
8/30/2021,"47,380","47,400","47,102","47,163"
8/31/2021,"47,155","47,210","47,026","47,120"
9/1/2021,"47,060","47,215","46,950","47,065"
9/2/2021,"47,080","47,150","46,920","46,995"
9/3/2021,"47,030","47,600","47,000","47,524"
9/6/2021,"47,510","47,545","47,355","47,422"
9/7/2021,"47,400","47,400","46,904","46,975"
9/8/2021,"46,905","47,144","46,810","47,034"
9/9/2021,"47,040","47,080","46,755","46,846"
9/13/2021,"46,950","47,015","46,805","46,905"
9/14/2021,"46,960","47,389","46,880","47,225"
9/15/2021,"47,120","47,175","46,825","46,897"
9/16/2021,"46,897","46,897","45,910","46,076"
9/17/2021,"46,100","46,250","45,860","45,986"
9/20/2021,"45,930","46,244","45,861","46,120"
9/21/2021,"46,200","46,740","46,150","46,638"
9/22/2021,"46,640","46,787","46,450","46,675"
9/23/2021,"46,510","46,550","45,955","46,070"
9/24/2021,"46,100","46,200","45,888","45,993"
9/27/2021,"46,050","46,250","45,920","46,056"
9/28/2021,"45,950","45,950","45,461","45,550"
9/29/2021,"45,350","45,845","45,340","45,785"
9/30/2021,"45,750","46,173","45,695","46,100"
10/1/2021,"45,950","46,380","45,911","46,215"
10/4/2021,"46,365","46,719","46,302","46,504"
10/5/2021,"46,585","46,740","46,382","46,654"
10/6/2021,"46,550","46,895","46,411","46,787"
10/7/2021,"46,800","46,894","46,583","46,757"
10/8/2021,"46,810","47,060","46,680","46,811"
10/11/2021,"46,851","47,194","46,851","47,058"
10/12/2021,"47,015","47,215","46,950","47,163"
10/13/2021,"47,194","47,997","47,110","47,918"
10/14/2021,"47,880","48,040","47,780","47,903"
10/18/2021,"47,400","47,560","47,184","47,288"
10/19/2021,"47,249","47,600","47,222","47,499"
10/20/2021,"47,424","47,674","47,314","47,499"
10/21/2021,"47,499","47,750","47,440","47,554"
10/22/2021,"47,525","48,274","47,500","48,154"
10/25/2021,"48,124","48,421","48,100","48,200"
10/26/2021,"48,135","48,300","47,933","48,140"
10/27/2021,"48,011","48,111","47,750","47,951"
10/28/2021,"47,850","48,175","47,825","47,951"
10/29/2021,"48,050","48,150","47,601","47,635"
11/1/2021,"47,639","48,014","47,600","47,905"
11/2/2021,"47,885","47,975","47,485","47,614"
11/3/2021,"47,605","47,678","46,950","47,155"
11/4/2021,"47,381","47,638","47,381","47,589"
11/8/2021,"47,970","48,220","47,931","48,197"
11/9/2021,"48,150","48,300","47,984","48,256"
11/10/2021,"48,250","49,080","48,171","48,879"
11/11/2021,"49,060","49,550","48,930","49,216"
11/12/2021,"49,200","49,380","49,077","49,314"
11/15/2021,"49,300","49,490","49,215","49,390"
11/16/2021,"49,248","49,611","49,115","49,180"
11/17/2021,"49,111","49,425","48,970","49,285"
11/18/2021,"49,150","49,275","48,771","48,842"
11/22/2021,"48,881","48,930","47,863","48,115"
11/23/2021,"48,020","48,125","47,363","47,431"
11/24/2021,"47,550","47,698","47,351","47,438"
11/25/2021,"47,430","47,688","47,340","47,421"
11/26/2021,"47,500","48,095","47,385","47,588"
11/29/2021,"47,800","48,150","47,440","47,543"
11/30/2021,"47,651","48,060","47,525","47,611"
12/1/2021,"47,678","47,980","47,422","47,607"
12/2/2021,"47,600","47,750","47,362","47,532"
12/3/2021,"47,560","48,049","47,400","47,903"
12/6/2021,"47,983","48,113","47,881","48,043"
12/7/2021,"48,050","48,171","47,855","47,914"
12/8/2021,"47,960","48,150","47,881","48,078"
12/9/2021,"48,150","48,188","47,930","48,041"
12/10/2021,"47,925","48,200","47,925","48,113"
12/13/2021,"48,181","48,382","48,131","48,240"
12/14/2021,"48,245","48,340","48,012","48,074"
12/15/2021,"48,100","48,204","47,935","48,065"
12/16/2021,"48,141","48,695","48,056","48,649"
12/17/2021,"48,600","48,849","48,506","48,594"
12/20/2021,"48,460","48,582","48,181","48,238"
12/21/2021,"48,252","48,252","47,951","48,063"
12/22/2021,"48,079","48,233","47,965","48,199"
12/23/2021,"48,198","48,290","48,126","48,158"
12/24/2021,"48,150","48,264","48,100","48,119"
12/27/2021,"48,110","48,200","48,015","48,157"
12/28/2021,"48,155","48,272","47,955","48,054"
12/29/2021,"47,985","48,034","47,736","47,838"
12/30/2021,"47,851","48,016","47,750","47,888"
12/31/2021,"47,935","48,150","47,883","48,099"
